Team,City,Country,Stadium,Capacity,Pitch
Troyes,Troyes,France,Stade de l'Aube,20842,Natural
Sedan,Sedán,France,Louis-Dugauguez,24000,
Ajaccio,Ajaccio,France,Stade François Coty,10660,Natural
Le Mans,Mulsanne,France,MMArena,25064,Natural
Istres,Istres,France,Stade Parsemain,17363,Natural
Grenoble,Grenoble,France,Des Alpes,20068,Natural
Boulogne,Boulogne-sur-Mer,France,Stade de la Libération,15242,Natural
Arles,Arles,France,,17500,
Evian Thonon Gail.,Annecy,France,Parc des Sports,15660,Natural
Dijon FCO,Dijon,France,Stade Gaston Gérard,15995,Natural
Stade de Reims,Reims,France,Auguste-Delaune II,21628,Natural
Gazélec Ajaccio,Ajaccio,France,Stade Municipal Ange Casanova Stiletto,4229,Natural
Amiens SC,Amiens,France,Stade de la Licorne,12097,Natural
Charleville,Charleville-M�zi�res,France,,3000,
Épinal,Épinal,France,Stade de La Colombière,7200,
Stade Poitevin,Poitiers,France,Stade de la Pépinière,15750,Grass
Stade Lavallois,Laval,France,Stade Francis Le Basser,18467,Natural
Perpignan,Perpignan,France,,3400,
Dunkerque,Dunkerque,France,Stade Marcel-Tribut,4200,Natural
Valence,Valence,France,,15128,Grass
Red Star,París,France,Stade Bauer,10000,
Louhans Cuiseaux,Louhans,France,Parc des Sports du Bram,8400,
Olympique Alès,Ales,France,Stade Pierre Pibarot,9000,Grass
Niort,Niort,France,Stade René Gaillard,10898,Natural
Stade Briochin,Saint-Brieuc,France,Stade Fred Aubert,13500,Natural grass
Beauvais Oise,Beauvais,France,Stade Pierre-Brisson,10000,
ES Wasquehal,Wasquehal,France,Complexe Sportif Lucien Montagne,500,
Creteil,rue vasco de gama,France,Stade Dominique Duvauchelle,12050,Natural
Clermont,Clermont-Ferrand,France,Stade Gabriel Montpied,10363,Natural
Besancon RC,Besançon,France,Stade Léo-Lagrange,15000,Grass
FC Rouen 1899,Rouen,France,,"12,018",Grass
Sète,Sète,France,Stade Louis-Michel,8700,
Libourne Saint Se.,Libourne,France,,8000,
Tours,Tours,France,Stade de la Vallée du Cher,11912,Natural
Vannes,Vannes,France,Stade de la Rabine,9143,Natural
CA Bastia,Furiani,France,,"16,048",Grass
Orléans,Orléans,France,Stade de la Source,5000,Natural
Paris FC,Paris,France,Stade Sébastien Charléty,20000,Natural
Bourg-Péronnas,Ain,France,Stade Muncipal de Péronnas,2541,Natural
Quevilly,Normandia,France,Stade Robert-Diochon,12018,
Béziers,Béziers,France,Stade de Sauclières,12000,
Rodez,Rodez,France,Stade Paul-Lignon,6000,
Chambly,Chambly,France,Stade des Marais,1000,
Pau FC,Pau,France,Stade du Hameau,13966,
Man. Utd,Mánchester,England,Old Trafford,76212,Natural
Liverpool,Liverpool,England,Anfield,54074,Natural
Tottenham Hotspur,Londres,England,Tottenham Hotspur Stadium,62062,Natural
Chelsea,Londres,England,Stamford Bridge,41841,Natural
Aston Villa,Birmingham,England,Villa Park,42788,Natural
Southampton,Southampton,England,St. Mary's Stadium,32689,Natural
Everton,Liverpool,England,Goodison Park,40569,Natural
Arsenal,Londres,England,Emirates Stadium,60355,Natural
Blackpool,Blackpool,England,Bloomfield Road,17625,Natural
Sporting Braga,Braga,Portugal,Estádio Municipal de Braga,30286,Natural
Benfica,Lisboa,Portugal,Estádio da Luz,65647,Natural
Porto,Oporto,Portugal,Estádio Do Dragão,50948,Natural
Sporting CP,Lisboa,Portugal,José Alvalade,50486,Natural
Chaves,Chaves,Portugal,Estádio Municipal Eng. Manuel Branco Teixeira,12000,Natural
Feirense,Santa Maria da Feira,Portugal,Estádio Marcolino de Castro,4667,Natural
Belenenses,Lisboa,Portugal,Estádio do Restelo,32500,Natural
Beira Mar SC,Aveiro,Portugal,Municipal de Aveiro,30000,
Portimonense,Portimão,Portugal,Estádio do Portimonense SC,9544,Natural
Tirsense,Santo Tirso,Portugal,,12000,
Boavista,Oporto,Portugal,Bessa Século XXI,30000,Natural
Marítimo,Funchal,Portugal,Estádio dos Barreiros,8992,Natural
Estrela Amadora,Amadora,Portugal,,"9,288",Grass
Vitória,Guimarães,Portugal,Estádio Dom Afonso Henriques,30165,Natural
Penafiel,Penafiel,Portugal,Estádio Municipal 25 de Abril,6500,Natural
União Madeira,Funchal,Portugal,Estádio Municipal de Machico,3300,Natural
Nacional,Madeira,Portugal,Estádio da Madeira,8589,Natural
Vitória Setúbal,Setúbal,Portugal,Estádio do Bonfim,18694,Natural
Farense,Faro,Portugal,Estádio de São Lúis,12000,Natural
Famalicão,Famalicão,Portugal,Estádio Municipal 22 de Junho,8000,
SC Salgueiros,Porto,Portugal,,3500,
Gil Vicente,Barcelos,Portugal,Estádio Cidade de Barcelos,12374,Natural
Paços Ferreira,Paços de Ferreira,Portugal,Estádio da Capital do Móvel,6452,Natural
Torreense,Torres Vedras,Portugal,,12000,
Estoril,Estoril,Portugal,Estádio António Coimbra da Mota,8000,Natural
Espinho,Espinho,Portugal,,7500,
União de Leiria,Leiria,Portugal,Magalhaes Pessoa,30000,Natural
FC Felgueiras,Felgueiras,Portugal,,7540,
Leça FC,Leça,Portugal,,"12,000",
Campomaiorense,Campo Maior,Portugal,,7500,
Rio Ave,Vila do Conde,Portugal,Estádio do Rio Ave Futebol Clube,12815,Natural
Académica,Coimbra,Portugal,Estádio Cidade de Coimbra,30075,Natural
Varzim,Varzim,Portugal,,11000,
Alverca,Alverca,Portugal,Complexo Desportivo do FC Alverca,15000,
CD Santa Clara,Ponta Delgada,Portugal,Estádio de São Miguel,13277,Natural
Desportivo Aves,Vila das Aves,Portugal,Estádio Clube Desportivo das Aves,8560,Natural
Moreirense,Moreira de Cónegos,Portugal,Comendador Joaquim Almeida Freitas,9000,Natural
Naval,Cantabria,Portugal,,1500,
Leixões,Matosinhos,Portugal,Estádio do Mar,9730,Natural
Trofense,Trofa,Portugal,Estádio do Clube Desportivo Trofense,5074,Natural
Olhanense,Olhão,Portugal,Estádio José Arcanjo,11662,Natural
Arouca,Arouca,Portugal,Estádio Municipal de Arouca,2500,Natural
Tondela,Tondela,Portugal,João Cardoso,7500,Natural
Real Madrid,Madrid,Spain,Santiago Bernabéu,85454,Natural
Osasuna,Pamplona,Spain,El Sadar,18761,Natural
Atlético,Madrid,Spain,Wanda Metropolitano,68000,Natural
Real Valladolid,Valladolid,Spain,Municipal José Zorrilla,26512,Natural
CD Logroñés,Logroño,Spain,,"16,000",Grass
Sevilla,Sevilla,Spain,Ramón Sánchez Pizjuán,42714,Natural
Athletic,Bilbao,Spain,San Mamés,53332,Natural
Real Zaragoza,Zaragoza,Spain,La Romareda,34596,Natural
CD Málaga,Málaga,Spain,,"30,044",Grass
Real Oviedo,Oviedo,Spain,Carlos Tartiere,30500,Césped Natural
CD Castellón,Castellon de la Plana,Spain,Municipal de Castalia,15700,Cesped natural
Celta,Vigo,Spain,Abanca Balaídos,28700,Natural
Valencia,Valencia,Spain,Mestalla,55000,Natural
Barcelona,Barcelona,Spain,Camp Nou,99787,Natural
Real Sporting,Gijón,Spain,El Molinón-Enrique Castro Quini,30000,Natural
R. Sociedad,San Sebastián,Spain,Anoeta,32076,Natural
Cádiz,Cádiz,Spain,Nuevo Ramón de Carranza,25033,Césped natural
Mallorca,Palma de Mallorca,Spain,Visit Mallora Estadi,23142,Natural
Tenerife,Santa Cruz de Tenerife,Spain,Heliodoro Rodríguez López,24000,Natural
Rayo Vallecano,Puente de vallecas,Spain,Vallecas,15500,Natural
Real Burgos CF,Burgos,Spain,San Amaro,1000,
Real Betis,Sevilla,Spain,Benito Villamarín,60721,Natural
Espanyol,Cornellá de Llobregat,Spain,RCDE Stadium,40423,Natural
Albacete,Albacete,Spain,Carlos Belmonte,17200,Césped natural
Deportivo,La Coruña,Spain,Municipal Riazor,34600,Natural
Racing,Santander,Spain,Campos de Sport de El Sardinero,22222,Césped natural
Lleida,Lleida,Spain,,13500,
Compostela,Santiago de Compostela,Spain,Estadio Municipal Vero Boquete de San Lázaro,13000,Césped Natural
Mérida CP,Mérida ,Spain,,14600,
UD Salamanca,Salamanca,Spain,Helmántico,17341,Césped Natural
Hércules,Alicante,Spain,José Rico Pérez,29500,Natural
CF Extremadura,Almendralejo,Spain,,"11,580",grass
Alavés,Vitoria,Spain,Mendizorroza,19940,Natural
Villarreal,Villarreal,Spain,Estadio de la Cerámica,24500,Natural
Málaga,Málaga,Spain,La Rosaleda,30044,Natural
Numancia,Soria,Spain,Nuevo Los Pajaritos,8727,Natural
